Date,Primary Type,Latitude,Longitude
3/6/2015 21:25,CRIMINAL TRESPASS,41.90585409,-87.6385742
3/6/2015 21:22,OFFENSE INVOLVING CHILDREN,41.99893023,-87.69494638
3/6/2015 21:20,NARCOTICS,41.84893633,-87.73050037
3/6/2015 21:15,THEFT,41.99285186,-87.78349881
3/6/2015 21:10,ROBBERY,41.75002102,-87.61232504
3/6/2015 21:06,ASSAULT,41.75121155,-87.61575289
3/6/2015 21:00,OTHER OFFENSE,41.78888385,-87.71613543
3/6/2015 21:00,THEFT,41.7410716,-87.66305279
3/6/2015 21:00,BATTERY,41.75939848,-87.55798988
3/6/2015 21:00,OTHER OFFENSE,41.81115752,-87.61395444
3/6/2015 21:00,CRIMINAL DAMAGE,41.89512575,-87.65212614
3/6/2015 21:00,CRIMINAL DAMAGE,41.94296202,-87.70637035
3/6/2015 21:00,THEFT,41.87922021,-87.72083742
3/6/2015 21:00,MOTOR VEHICLE THEFT,41.96433416,-87.72684358
3/6/2015 21:00,MOTOR VEHICLE THEFT,41.82374806,-87.69766915
3/6/2015 21:00,THEFT,41.80703923,-87.59207742
3/6/2015 20:54,NARCOTICS,41.68524025,-87.62005954
3/6/2015 20:50,BATTERY,41.71296171,-87.63949799
3/6/2015 20:48,NARCOTICS,41.87199517,-87.70418947
3/6/2015 20:45,NARCOTICS,41.92446411,-87.73745887
3/6/2015 20:40,NARCOTICS,41.73576749,-87.6731176
3/6/2015 20:40,THEFT,41.68105851,-87.53938269
3/6/2015 20:40,NARCOTICS,41.87022661,-87.73792614
3/6/2015 20:40,BATTERY,41.84434299,-87.72591922
3/6/2015 20:36,NARCOTICS,41.69418032,-87.65201348
3/6/2015 20:35,BATTERY,41.85977002,-87.72361841
3/6/2015 20:33,NARCOTICS,41.73494947,-87.60366019
3/6/2015 20:31,THEFT,41.87855837,-87.66419573
3/6/2015 20:30,MOTOR VEHICLE THEFT,41.7513217,-87.67302421
3/6/2015 20:30,THEFT,41.69269514,-87.62292462
3/6/2015 20:30,THEFT,41.91080878,-87.6483921
3/6/2015 20:30,THEFT,41.94494454,-87.77859173
3/6/2015 20:30,THEFT,41.88044602,-87.75780759
3/6/2015 20:30,BATTERY,41.84701834,-87.69105637
3/6/2015 20:28,CRIMINAL DAMAGE,41.77254714,-87.62527022
3/6/2015 20:25,THEFT,41.85896242,-87.72605988
3/6/2015 20:20,BATTERY,41.78519492,-87.70438613
3/6/2015 20:17,OTHER OFFENSE,41.90922165,-87.76931994
3/6/2015 20:16,OTHER OFFENSE,41.74136524,-87.57686113
3/6/2015 20:15,CRIMINAL DAMAGE,41.81386477,-87.6007146
3/6/2015 20:06,NARCOTICS,41.7048471,-87.53513869
3/6/2015 20:02,PUBLIC PEACE VIOLATION,41.90260785,-87.63273199
3/6/2015 20:00,CRIMINAL DAMAGE,41.88047329,-87.70040115
3/6/2015 20:00,BATTERY,41.74086277,-87.57100807
3/6/2015 20:00,THEFT,41.96381047,-87.68524078
3/6/2015 20:00,MOTOR VEHICLE THEFT,41.92861768,-87.69239931
3/6/2015 20:00,CRIMINAL DAMAGE,42.01753044,-87.70391251
3/6/2015 19:57,PUBLIC PEACE VIOLATION,41.76866292,-87.58779793
3/6/2015 19:55,NARCOTICS,41.86423773,-87.710334
3/6/2015 19:55,PUBLIC PEACE VIOLATION,41.84909138,-87.70165019
3/6/2015 19:55,NARCOTICS,41.85109588,-87.6797914
3/6/2015 19:53,NARCOTICS,41.87920279,-87.76163768
3/6/2015 19:50,NARCOTICS,41.68700497,-87.66481513
3/6/2015 19:50,NARCOTICS,41.88097585,-87.69501283
3/6/2015 19:47,NARCOTICS,41.75414026,-87.67066811
3/6/2015 19:35,OTHER OFFENSE,41.89206983,-87.62822314
3/6/2015 19:35,NARCOTICS,41.80021666,-87.7430784
3/6/2015 19:32,BURGLARY,41.96242562,-87.77022242
3/6/2015 19:30,MOTOR VEHICLE THEFT,41.74304839,-87.65246815
3/6/2015 19:30,LIQUOR LAW VIOLATION,41.87345554,-87.71589893
3/6/2015 19:30,DECEPTIVE PRACTICE,41.94157425,-87.79231264
3/6/2015 19:30,ASSAULT,41.75409303,-87.64398447
3/6/2015 19:30,MOTOR VEHICLE THEFT,41.74122964,-87.65212827
3/6/2015 19:30,BATTERY,41.98398119,-87.65312913
3/6/2015 19:25,NARCOTICS,41.79353085,-87.64528561
3/6/2015 19:25,NARCOTICS,41.69359431,-87.62410104
3/6/2015 19:25,ROBBERY,41.89148533,-87.74626422
3/6/2015 19:20,NARCOTICS,41.82903432,-87.66777182
3/6/2015 19:15,NARCOTICS,41.95762624,-87.71685184
3/6/2015 19:10,NARCOTICS,41.89738435,-87.72600088
3/6/2015 19:09,NARCOTICS,41.69080933,-87.63493979
3/6/2015 19:04,NARCOTICS,41.72927334,-87.60308699
3/6/2015 19:00,ROBBERY,,
3/6/2015 19:00,THEFT,41.87552691,-87.62410897
3/6/2015 19:00,CRIMINAL DAMAGE,41.91690922,-87.65347443
3/6/2015 19:00,CRIMINAL DAMAGE,41.88005363,-87.76999145
3/6/2015 19:00,THEFT,41.9119615,-87.76787034
3/6/2015 19:00,OTHER OFFENSE,41.76500616,-87.58379354
3/6/2015 19:00,ASSAULT,42.00393378,-87.66097777
3/6/2015 19:00,OFFENSE INVOLVING CHILDREN,41.87086801,-87.70382235
3/6/2015 18:58,OTHER OFFENSE,41.9961096,-87.68473659
3/6/2015 18:57,NARCOTICS,41.89711044,-87.71529648
3/6/2015 18:56,THEFT,41.89806982,-87.62394408
3/6/2015 18:53,DECEPTIVE PRACTICE,41.95354082,-87.74684578
3/6/2015 18:51,NARCOTICS,41.87894259,-87.75515886
3/6/2015 18:50,BATTERY,41.79484953,-87.61987603
3/6/2015 18:47,NARCOTICS,41.92174042,-87.74516756
3/6/2015 18:46,OTHER OFFENSE,41.73700866,-87.58672056
3/6/2015 18:45,THEFT,41.77897199,-87.69562944
3/6/2015 18:45,OTHER OFFENSE,41.76794865,-87.6834769
3/6/2015 18:45,THEFT,41.76838391,-87.66889396
3/6/2015 18:45,BATTERY,41.97036592,-87.65013729
3/6/2015 18:43,NARCOTICS,41.70171353,-87.65063032
3/6/2015 18:41,THEFT,41.87933325,-87.74992634
3/6/2015 18:41,WEAPONS VIOLATION,41.87917551,-87.76222178
3/6/2015 18:41,OTHER OFFENSE,41.90688038,-87.69432135
3/6/2015 18:35,WEAPONS VIOLATION,41.7331311,-87.60297002
3/6/2015 18:33,DECEPTIVE PRACTICE,41.8978439,-87.6242441
3/6/2015 18:30,THEFT,41.71463059,-87.67596375
3/6/2015 18:30,BATTERY,41.87438854,-87.62775293
3/6/2015 18:30,THEFT,41.72151506,-87.62454502
3/6/2015 18:30,CRIMINAL TRESPASS,41.86631378,-87.72285869
3/6/2015 18:30,CRIMINAL DAMAGE,41.92479241,-87.7330499
3/6/2015 18:27,WEAPONS VIOLATION,41.99621408,-87.67036262
3/6/2015 18:24,BATTERY,41.77000763,-87.66259769
3/6/2015 18:20,CRIMINAL TRESPASS,41.76646456,-87.60574815
3/6/2015 18:20,BATTERY,41.9044893,-87.72188536
3/6/2015 18:19,NARCOTICS,41.8719169,-87.62745701
3/6/2015 18:15,INTERFERENCE WITH PUBLIC OFFICER,41.88325078,-87.72586667
3/6/2015 18:15,BATTERY,41.76901142,-87.62509649
3/6/2015 18:15,OTHER OFFENSE,41.73717579,-87.54597942
3/6/2015 18:15,NARCOTICS,41.77873097,-87.66434728
3/6/2015 18:12,OTHER OFFENSE,41.7641964,-87.58040508
3/6/2015 18:10,BATTERY,42.00188681,-87.66712868
3/6/2015 18:05,NARCOTICS,41.78238225,-87.72481043
3/6/2015 18:00,CRIMINAL DAMAGE,41.80838282,-87.67764711
3/6/2015 18:00,BURGLARY,41.75578475,-87.6750785
3/6/2015 18:00,THEFT,41.68297868,-87.66853963
3/6/2015 18:00,OTHER OFFENSE,,
3/6/2015 18:00,OFFENSE INVOLVING CHILDREN,41.80084422,-87.59061945
3/6/2015 18:00,BURGLARY,41.84276589,-87.63528623
3/6/2015 18:00,THEFT,41.76736289,-87.56664755
3/6/2015 18:00,CRIMINAL DAMAGE,41.90770276,-87.68729643
3/6/2015 18:00,THEFT,41.85831242,-87.62547388
3/6/2015 18:00,CRIMINAL DAMAGE,41.94217627,-87.79721456
3/6/2015 18:00,OFFENSE INVOLVING CHILDREN,41.77753395,-87.69959223
3/6/2015 17:54,BATTERY,41.73666401,-87.59070722
3/6/2015 17:50,NARCOTICS,41.88940532,-87.72209533
3/6/2015 17:46,DECEPTIVE PRACTICE,41.69039546,-87.69941941
